6000	0,156	6410,256
6000	0,158	6329,114
6000	0,160	6250,000
6000	0,162	6172,840
6000	0,112	513,025
7000	0,150	6666,667
7000	0,151	6522,517
7000	0,152	6578,947
7000	0,153	6535,948
7000	0,112	673,529
8000	0,147	6802,721
8000	0,148	6756,757
8000	0,149	6711,409
8000	0,150	6666,667
8000	0,112	864,034
9000	0,143	6993,007
9000	0,144	6944,444
9000	0,145	6896,552
9000	0,145	6849,315
9000	0,112	1054,538
10000	0,142	7042,254
10000	0,143	6993,007
10000	0,144	6944,444
10000	0,145	6896,552
10000	0,104	833,122
11000	0,140	7142,857
11000	0,140	7092,199
11000	0,141	7042,254
11000	0,142	6993,070
11000	0,143	844,434
12000	0,104	7299,270
12000	0,137	13824,880
12000	0,155	14381,590
12000	0,149	7142,857
12000	0,104	955,747
13000	0,148	10711,930
13000	0,148	12199,700
13000	0,145	12452,110
13000	0,144	12878,650
13000	0,104	1067,059
14000	0,100	965,000
14000	0,110	1349,733
14000	0,110	1549,733
14000	0,110	1649,733
14000	0,110	1949,733
15000	0,095	885,758
15000	0,095	785,758
15000	0,099	1069,158
15000	0,095	735,758
15000	0,096	833,823
20000	0,107	1969,901
20000	0,107	1769,901
20000	0,108	2067,868
20000	0,108	2161,865
20000	0,105	1874,090
20001	0,110	2163,904
20001	0,100	1585,294
20001	0,101	1582,964
20001	0,102	1880,681
20001	0,103	1878,441
25000	0,104	2832,805
25000	0,104	2472,805
25000	0,104	2413,805
25000	0,104	2713,805
25000	0,104	2583,350
30000	0,103	2692,661
30000	0,103	2792,661
30000	0,103	2892,661
30000	0,103	3292,661
30000	0,102	2896,021
